api,fetch_time,station,head_sign,projected_arrival,last_updated,door_close,scheduled_departure
OFFICIAL,2023-04-30T14:27:46.209406-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:05.889112-04:00,2023-04-30T14:25:55.889112-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:28:06.875916-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:19-04:00,2023-04-30T14:28:00-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:28:07.101941-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:19.020755-04:00,2023-04-30T14:27:26.020755-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:28:26.961494-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:19-04:00,2023-04-30T14:28:20-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:28:27.240676-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:19.020755-04:00,2023-04-30T14:27:26.020755-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:28:47.008186-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:19-04:00,2023-04-30T14:28:40-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:28:47.295958-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:19.001532-04:00,2023-04-30T14:28:01.001532-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:29:06.923062-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:19-04:00,2023-04-30T14:29:00-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:29:07.169142-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:19.188531-04:00,2023-04-30T14:28:21.188531-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:29:26.820784-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:34-04:00,2023-04-30T14:29:20-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:29:27.104920-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:23.997720-04:00,2023-04-30T14:29:10.997720-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:29:47.189885-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:36:54-04:00,2023-04-30T14:29:45-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:29:47.401331-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:19.194046-04:00,2023-04-30T14:28:36.194046-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:30:06.895552-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:37:14-04:00,2023-04-30T14:30:00-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:30:07.109615-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:19.000254-04:00,2023-04-30T14:28:46.000254-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:30:26.176983-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:37:34-04:00,2023-04-30T14:30:20-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:30:26.372563-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:36:54.067900-04:00,2023-04-30T14:29:46.067900-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
