api,fetch_time,station,head_sign,projected_arrival,last_updated,door_open,door_close,scheduled_departure
OFFICIAL,2022-11-20T10:56:38.600034-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.341594-05:00,2022-11-20T10:55:26.341594-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:46.245023-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:04:05-05:00,2022-11-20T10:56:45-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:56:46.386476-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.438415-05:00,2022-11-20T10:55:11.438415-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:51.563765-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:04:05-05:00,2022-11-20T10:56:50-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:56:51.648169-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.438415-05:00,2022-11-20T10:55:11.438415-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:57.324846-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:04:05-05:00,2022-11-20T10:56:55-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:56:57.478864-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.438415-05:00,2022-11-20T10:55:11.438415-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:57:03.156193-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:04:03-05:00,2022-11-20T10:57:00-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:57:03.345369-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.438415-05:00,2022-11-20T10:55:11.438415-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:57:10.104592-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:04:03-05:00,2022-11-20T10:57:00-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:57:12.043083-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.438415-05:00,2022-11-20T10:55:11.438415-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:57:17.718835-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:04:03-05:00,2022-11-20T10:57:15-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:57:18.001836-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.438415-05:00,2022-11-20T10:55:11.438415-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:57:23.167501-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:04:03-05:00,2022-11-20T10:57:20-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:57:23.271045-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.438415-05:00,2022-11-20T10:55:11.438415-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:57:29.957972-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:04:03-05:00,2022-11-20T10:57:25-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:57:30.082866-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.373910-05:00,2022-11-20T10:55:56.373910-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:57:35.755949-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:04:03-05:00,2022-11-20T10:57:35-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:57:35.942288-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.373910-05:00,2022-11-20T10:55:56.373910-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
