api,fetch_time,station,head_sign,projected_arrival,last_updated,door_close,scheduled_departure
MRAZZA,2023-04-02T14:30:48.521064-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:46-04:00,2023-04-02T14:30:45-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:30:48.530608-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:46.507132-04:00,2023-04-02T14:29:58.507132-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:31:08.538760-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:46-04:00,2023-04-02T14:31:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:31:08.548718-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:47.453980-04:00,2023-04-02T14:30:08.453980-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:31:28.603464-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:46-04:00,2023-04-02T14:31:25-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:31:28.612854-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:47.277664-04:00,2023-04-02T14:30:18.277664-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:31:48.579782-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:47-04:00,2023-04-02T14:31:46-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:31:48.589382-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:47.277664-04:00,2023-04-02T14:30:18.277664-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:32:08.587004-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:46-04:00,2023-04-02T14:32:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:32:08.596457-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:47.453388-04:00,2023-04-02T14:31:13.453388-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:32:28.609425-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:58-04:00,2023-04-02T14:32:26-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:32:28.619008-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:47.299207-04:00,2023-04-02T14:31:03.299207-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:32:48.619162-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:43:18-04:00,2023-04-02T14:32:46-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:32:48.628645-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:47.299207-04:00,2023-04-02T14:31:03.299207-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:33:08.621042-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:40:25-04:00,2023-04-02T14:33:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:33:08.630547-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:57.479575-04:00,2023-04-02T14:32:28.479575-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:33:28.644278-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:40:47-04:00,2023-04-02T14:33:26-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:33:28.653817-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:57.479575-04:00,2023-04-02T14:32:28.479575-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:33:48.642245-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:41:07-04:00,2023-04-02T14:33:46-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:33:48.651914-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:43:17.492401-04:00,2023-04-02T14:32:43.492401-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:34:08.712758-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:41:27-04:00,2023-04-02T14:34:06-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:34:08.722905-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:40:37.374044-04:00,2023-04-02T14:33:18.374044-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:34:28.673716-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:41:48-04:00,2023-04-02T14:34:26-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:34:28.683145-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:40:37.374044-04:00,2023-04-02T14:33:18.374044-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:34:48.692257-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:08-04:00,2023-04-02T14:34:46-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:34:48.701929-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:41:37.424484-04:00,2023-04-02T14:34:18.424484-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:35:08.704474-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:28-04:00,2023-04-02T14:35:06-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:35:08.713819-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:41:06.476530-04:00,2023-04-02T14:33:43.476530-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:35:28.708191-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:48-04:00,2023-04-02T14:35:26-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:35:28.717871-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:41:06.476530-04:00,2023-04-02T14:33:43.476530-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:35:48.732694-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:43:09-04:00,2023-04-02T14:35:46-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:35:48.742030-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:18.414819-04:00,2023-04-02T14:34:53.414819-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:36:08.753450-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:43:29-04:00,2023-04-02T14:36:06-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:36:08.762781-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:38.447643-04:00,2023-04-02T14:35:13.447643-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:36:28.805552-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:43:50-04:00,2023-04-02T14:36:26-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:36:28.815170-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:43:19.457658-04:00,2023-04-02T14:36:03.457658-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:36:48.774210-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:44:10-04:00,2023-04-02T14:36:46-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:36:48.783580-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:38.433558-04:00,2023-04-02T14:35:18.433558-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:37:08.782145-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:44:11-04:00,2023-04-02T14:37:06-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:37:08.791607-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:43:50.465034-04:00,2023-04-02T14:36:28.465034-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:37:28.802681-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:44:23-04:00,2023-04-02T14:37:26-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:37:28.812801-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:44:10.478294-04:00,2023-04-02T14:36:53.478294-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:37:48.832661-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:44:23-04:00,2023-04-02T14:37:46-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:37:48.843443-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:44:10.479065-04:00,2023-04-02T14:36:58.479065-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:38:08.839348-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:44:23-04:00,2023-04-02T14:38:06-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:38:08.849178-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:44:22.494650-04:00,2023-04-02T14:37:23.494650-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:38:28.856739-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:44:23-04:00,2023-04-02T14:38:26-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:38:28.866680-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:44:10.489600-04:00,2023-04-02T14:37:08.489600-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
